close,tick_volume,time_sin,time_cos,price_diff,trendline
2039.68,1807,0.25881904510252074,0.9659258262890683,0,0
2041.56,1644,0.3214394653031616,0.9469301294951057,1.8799999999998818,
2039.98,1192,0.3826834323650898,0.9238795325112867,-1.5799999999999272,
2039.12,1244,0.4422886902190013,0.8968727415326883,-0.8600000000001273,
2037.6,3965,0.49999999999999994,0.8660254037844387,-1.5199999999999818,
2034.98,3433,0.5555702330196022,0.8314696123025452,-2.619999999999891,




2024-02-05 02:30:00,2035.08,2035.45,2033.48,2035.0,2495,20,0,2039.4614838164002,0.6087614290087207,0.7933533402912352,0.01999999999998181,
2024-02-05 02:45:00,2035.1,2035.74,2034.53,2035.6,1434,20,0,2039.3756730649245,0.6593458151000688,0.7518398074789774,0.599999999999909,
2024-02-05 03:00:00,2035.6,2036.95,2034.69,2034.81,2189,20,0,2039.2742136634818,0.7071067811865476,0.7071067811865476,-0.7899999999999636,
2024-02-05 03:15:00,2034.78,2036.7,2034.4,2035.83,1571,20,0,2039.1976755820708,0.7518398074789773,0.659345815100069,1.0199999999999818,