time,open,high,low,close,tick_volume,spread,real_volume
2020-02-07 17:00:00,109.577,109.796,109.531,109.774,3400,3,0
2020-02-07 18:00:00,109.774,109.842,109.719,109.805,2251,3,0
2020-02-07 19:00:00,109.805,109.834,109.78,109.805,1260,3,0
2020-02-07 20:00:00,109.805,109.823,109.745,109.745,1482,3,0
2020-02-07 21:00:00,109.745,109.76,109.698,109.73,2200,3,0
2020-02-07 22:00:00,109.73,109.776,109.73,109.766,2177,3,0
2020-02-07 23:00:00,109.766,109.798,109.748,109.776,760,4,0
2020-02-10 00:00:00,109.685,109.753,109.682,109.715,1260,4,0
2020-02-10 01:00:00,109.715,109.778,109.559,109.616,2883,3,0
2020-02-10 02:00:00,109.617,109.71,109.604,109.652,2764,3,0
2020-02-10 03:00:00,109.652,109.81,109.628,109.781,3729,3,0
2020-02-10 04:00:00,109.781,109.876,109.774,109.832,2727,3,0
2020-02-10 05:00:00,109.832,109.851,109.763,109.765,1334,3,0
2020-02-10 06:00:00,109.765,109.779,109.728,109.732,891,3,0
2020-02-10 07:00:00,109.732,109.797,109.731,109.775,1104,3,0
2020-02-10 08:00:00,109.775,109.833,109.76,109.821,1208,4,0
2020-02-10 09:00:00,109.821,109.85,109.758,109.8,1902,3,0
2020-02-10 10:00:00,109.8,109.845,109.72,109.781,2815,3,0
2020-02-10 11:00:00,109.781,109.821,109.723,109.726,1493,3,0
2020-02-10 12:00:00,109.726,109.809,109.704,109.767,2131,3,0
2020-02-10 13:00:00,109.767,109.809,109.758,109.777,1416,3,0
2020-02-10 14:00:00,109.776,109.794,109.727,109.745,1450,3,0
2020-02-10 15:00:00,109.745,109.783,109.701,109.738,1713,3,0
2020-02-10 16:00:00,109.738,109.771,109.65,109.768,2633,3,0
2020-02-10 17:00:00,109.768,109.768,109.694,109.731,2044,3,0
2020-02-10 18:00:00,109.731,109.797,109.725,109.766,1458,3,0
2020-02-10 19:00:00,109.766,109.767,109.639,109.685,1717,3,0
2020-02-10 20:00:00,109.685,109.716,109.675,109.682,1043,4,0
2020-02-10 21:00:00,109.682,109.696,109.66,109.696,1077,4,0
2020-02-10 22:00:00,109.696,109.755,109.678,109.745,1657,4,0
2020-02-10 23:00:00,109.744,109.774,109.726,109.771,1088,4,0
2020-02-11 00:00:00,109.765,109.783,109.735,109.754,906,4,0
2020-02-11 01:00:00,109.754,109.78,109.746,109.767,1121,4,0
2020-02-11 02:00:00,109.767,109.83,109.738,109.813,1276,3,0
2020-02-11 03:00:00,109.813,109.852,109.801,109.845,1440,3,0
2020-02-11 04:00:00,109.845,109.898,109.83,109.874,1098,3,0
2020-02-11 05:00:00,109.874,109.888,109.842,109.873,634,4,0
2020-02-11 06:00:00,109.873,109.884,109.859,109.88,341,4,0
2020-02-11 07:00:00,109.88,109.905,109.871,109.893,668,4,0
2020-02-11 08:00:00,109.893,109.931,109.892,109.897,913,3,0
2020-02-11 09:00:00,109.897,109.911,109.85,109.911,1345,3,0
2020-02-11 10:00:00,109.911,109.945,109.86,109.877,1897,3,0
2020-02-11 11:00:00,109.877,109.895,109.832,109.863,1563,3,0
2020-02-11 12:00:00,109.863,109.89,109.831,109.874,1018,3,0
2020-02-11 13:00:00,109.873,109.88,109.833,109.849,827,3,0
2020-02-11 14:00:00,109.849,109.861,109.813,109.844,933,3,0
2020-02-11 15:00:00,109.844,109.848,109.748,109.78,2127,3,0
2020-02-11 16:00:00,109.78,109.823,109.745,109.8,2692,3,0
2020-02-11 17:00:00,109.8,109.961,109.799,109.905,2682,3,0
2020-02-11 18:00:00,109.905,109.932,109.751,109.785,2256,3,0
2020-02-11 19:00:00,109.785,109.822,109.769,109.815,1685,4,0
2020-02-11 20:00:00,109.812,109.836,109.751,109.78,1216,3,0
2020-02-11 21:00:00,109.781,109.786,109.732,109.749,1690,3,0
2020-02-11 22:00:00,109.75,109.788,109.729,109.778,1752,3,0
2020-02-11 23:00:00,109.779,109.79,109.775,109.782,602,3,0
2020-02-12 00:00:00,109.781,109.808,109.756,109.784,3322,4,0
2020-02-12 01:00:00,109.783,109.849,109.783,109.841,1397,3,0
2020-02-12 02:00:00,109.844,109.865,109.798,109.845,2749,3,0
2020-02-12 03:00:00,109.843,109.883,109.826,109.868,2166,3,0
2020-02-12 04:00:00,109.868,109.89,109.841,109.877,1304,3,0
2020-02-12 05:00:00,109.877,109.878,109.822,109.824,684,4,0
2020-02-12 06:00:00,109.824,109.839,109.816,109.825,723,3,0
2020-02-12 07:00:00,109.825,109.865,109.825,109.855,809,3,0
2020-02-12 08:00:00,109.855,109.884,109.845,109.868,1140,4,0
2020-02-12 09:00:00,109.866,109.921,109.846,109.881,1431,3,0
2020-02-12 10:00:00,109.88,110.134,109.869,110.106,2823,3,0
2020-02-12 11:00:00,110.106,110.113,109.959,109.99,1818,3,0
2020-02-12 12:00:00,109.99,110.035,109.917,109.963,1264,3,0
2020-02-12 13:00:00,109.963,109.994,109.933,109.954,938,3,0
2020-02-12 14:00:00,109.954,109.983,109.944,109.955,891,3,0
2020-02-12 15:00:00,109.955,110.009,109.945,109.981,1162,3,0
2020-02-12 16:00:00,109.981,110.057,109.977,110.053,2146,3,0
2020-02-12 17:00:00,110.053,110.056,109.996,110.013,2334,3,0
2020-02-12 18:00:00,110.013,110.078,109.983,110.008,1556,3,0
2020-02-12 19:00:00,110.007,110.041,109.994,110.035,1136,3,0
2020-02-12 20:00:00,110.035,110.043,109.986,110.04,1056,3,0
2020-02-12 21:00:00,110.04,110.095,110.028,110.079,1144,3,0
2020-02-12 22:00:00,110.079,110.111,110.068,110.07,1015,3,0
2020-02-12 23:00:00,110.071,110.117,110.066,110.097,1201,3,0
2020-02-13 00:00:00,110.095,110.095,110.057,110.077,3460,5,0
2020-02-13 01:00:00,110.077,110.085,109.8,109.867,2738,3,0
2020-02-13 02:00:00,109.869,109.931,109.85,109.881,4150,3,0
2020-02-13 03:00:00,109.881,109.984,109.87,109.947,3173,3,0
2020-02-13 04:00:00,109.947,109.978,109.916,109.92,1649,3,0
2020-02-13 05:00:00,109.923,109.935,109.852,109.858,1197,4,0
2020-02-13 06:00:00,109.858,109.895,109.851,109.859,1073,3,0
2020-02-13 07:00:00,109.859,109.887,109.821,109.825,1497,3,0
2020-02-13 08:00:00,109.824,109.846,109.772,109.81,1411,3,0
2020-02-13 09:00:00,109.81,109.848,109.712,109.726,2243,3,0
2020-02-13 10:00:00,109.726,109.791,109.714,109.762,2386,3,0
2020-02-13 11:00:00,109.762,109.806,109.715,109.735,1807,3,0
2020-02-13 12:00:00,109.735,109.741,109.616,109.693,2430,3,0
2020-02-13 13:00:00,109.692,109.726,109.649,109.704,2307,3,0
2020-02-13 14:00:00,109.704,109.744,109.669,109.718,1801,3,0
2020-02-13 15:00:00,109.718,109.79,109.681,109.75,2042,3,0
2020-02-13 16:00:00,109.75,109.85,109.706,109.726,3064,3,0
2020-02-13 17:00:00,109.726,109.821,109.644,109.8,4115,3,0
2020-02-13 18:00:00,109.8,109.865,109.772,109.818,2091,3,0
2020-02-13 19:00:00,109.818,109.832,109.755,109.767,1536,3,0
2020-02-13 20:00:00,109.767,109.828,109.741,109.813,1629,3,0
2020-02-13 21:00:00,109.813,109.848,109.773,109.805,1414,4,0
2020-02-13 22:00:00,109.805,109.822,109.765,109.781,2049,3,0
2020-02-13 23:00:00,109.781,109.832,109.775,109.815,1154,3,0
2020-02-14 00:00:00,109.787,109.823,109.778,109.808,1215,4,0
2020-02-14 01:00:00,109.808,109.816,109.729,109.77,2643,3,0
2020-02-14 02:00:00,109.77,109.871,109.75,109.858,2813,3,0
2020-02-14 03:00:00,109.857,109.866,109.762,109.813,2442,3,0
2020-02-14 04:00:00,109.812,109.863,109.791,109.863,1861,3,0
2020-02-14 05:00:00,109.863,109.91,109.82,109.838,1370,4,0
2020-02-14 06:00:00,109.838,109.841,109.777,109.78,769,3,0
2020-02-14 07:00:00,109.78,109.815,109.779,109.793,1274,3,0
2020-02-14 08:00:00,109.793,109.796,109.745,109.781,1321,3,0
2020-02-14 09:00:00,109.78,109.836,109.752,109.784,1395,3,0
2020-02-14 10:00:00,109.783,109.828,109.755,109.796,1687,3,0
2020-02-14 11:00:00,109.796,109.836,109.781,109.8,1289,4,0
2020-02-14 12:00:00,109.801,109.824,109.788,109.823,960,3,0
2020-02-14 13:00:00,109.823,109.829,109.797,109.8,593,4,0
2020-02-14 14:00:00,109.8,109.857,109.798,109.852,1004,3,0
2020-02-14 15:00:00,109.852,109.879,109.736,109.777,2274,3,0
2020-02-14 16:00:00,109.777,109.814,109.698,109.725,2378,3,0
2020-02-14 17:00:00,109.724,109.778,109.711,109.758,2263,3,0
2020-02-14 18:00:00,109.758,109.798,109.755,109.767,1304,4,0
2020-02-14 19:00:00,109.767,109.777,109.727,109.732,1010,4,0
2020-02-14 20:00:00,109.732,109.77,109.704,109.725,1121,4,0
2020-02-14 21:00:00,109.725,109.77,109.696,109.769,1327,4,0
2020-02-14 22:00:00,109.769,109.793,109.745,109.78,1140,3,0
2020-02-14 23:00:00,109.78,109.787,109.739,109.772,902,4,0
2020-02-17 00:00:00,109.803,109.814,109.75,109.777,1567,6,0
2020-02-17 01:00:00,109.777,109.833,109.772,109.793,2618,3,0
2020-02-17 02:00:00,109.793,109.82,109.717,109.77,3118,3,0
2020-02-17 03:00:00,109.768,109.838,109.752,109.834,2130,3,0
2020-02-17 04:00:00,109.834,109.852,109.804,109.833,1459,3,0
2020-02-17 05:00:00,109.833,109.838,109.805,109.814,869,4,0
2020-02-17 06:00:00,109.814,109.835,109.801,109.831,635,3,0
2020-02-17 07:00:00,109.831,109.841,109.815,109.838,687,3,0
2020-02-17 08:00:00,109.838,109.853,109.831,109.851,719,3,0
2020-02-17 09:00:00,109.851,109.866,109.841,109.862,837,4,0
2020-02-17 10:00:00,109.862,109.869,109.829,109.836,1011,4,0
2020-02-17 11:00:00,109.836,109.876,109.816,109.869,783,3,0
2020-02-17 12:00:00,109.869,109.88,109.857,109.873,477,4,0
2020-02-17 13:00:00,109.873,109.888,109.866,109.885,658,3,0
2020-02-17 14:00:00,109.885,109.893,109.865,109.877,669,3,0
2020-02-17 15:00:00,109.877,109.88,109.863,109.871,446,3,0
2020-02-17 16:00:00,109.871,109.93,109.862,109.915,525,3,0
2020-02-17 17:00:00,109.915,109.96,109.888,109.941,653,4,0
2020-02-17 18:00:00,109.941,109.947,109.904,109.916,514,3,0
2020-02-17 19:00:00,109.916,109.925,109.9,109.921,701,4,0
2020-02-17 20:00:00,109.921,109.946,109.918,109.934,951,3,0
2020-02-17 21:00:00,109.934,109.94,109.924,109.938,698,4,0
2020-02-17 22:00:00,109.939,109.94,109.917,109.917,775,4,0
2020-02-17 23:00:00,109.917,109.92,109.848,109.871,1600,4,0
2020-02-18 00:00:00,109.866,109.879,109.796,109.852,2721,4,0
2020-02-18 01:00:00,109.852,109.865,109.797,109.834,2153,3,0
2020-02-18 02:00:00,109.835,109.839,109.715,109.753,2758,3,0
2020-02-18 03:00:00,109.753,109.797,109.714,109.77,3283,3,0
2020-02-18 04:00:00,109.77,109.794,109.66,109.676,2678,3,0
2020-02-18 05:00:00,109.676,109.712,109.655,109.705,1503,3,0
2020-02-18 06:00:00,109.705,109.757,109.699,109.742,873,3,0
2020-02-18 07:00:00,109.742,109.761,109.719,109.752,1211,4,0
2020-02-18 08:00:00,109.752,109.796,109.736,109.767,1172,3,0
2020-02-18 09:00:00,109.768,109.776,109.674,109.697,1732,3,0
2020-02-18 10:00:00,109.697,109.77,109.69,109.747,2523,3,0
2020-02-18 11:00:00,109.747,109.748,109.661,109.72,1578,4,0
2020-02-18 12:00:00,109.72,109.74,109.684,109.723,2041,3,0
2020-02-18 13:00:00,109.723,109.73,109.698,109.719,1002,3,0
2020-02-18 14:00:00,109.719,109.775,109.71,109.768,1145,4,0
2020-02-18 15:00:00,109.768,109.802,109.733,109.779,1660,3,0
2020-02-18 16:00:00,109.779,109.946,109.768,109.917,3057,3,0
2020-02-18 17:00:00,109.917,109.932,109.796,109.805,2560,3,0
2020-02-18 18:00:00,109.806,109.833,109.773,109.805,2229,3,0
2020-02-18 19:00:00,109.804,109.888,109.804,109.867,1576,3,0
2020-02-18 20:00:00,109.867,109.903,109.829,109.85,1203,3,0
2020-02-18 21:00:00,109.85,109.883,109.838,109.865,1294,3,0
2020-02-18 22:00:00,109.866,109.883,109.848,109.854,1049,3,0
2020-02-18 23:00:00,109.854,109.88,109.845,109.866,545,4,0
2020-02-19 00:00:00,109.866,109.885,109.834,109.859,723,5,0
2020-02-19 01:00:00,109.859,109.934,109.845,109.919,1820,4,0
2020-02-19 02:00:00,109.919,109.949,109.897,109.91,2060,3,0
2020-02-19 03:00:00,109.91,109.978,109.859,109.968,2624,3,0
2020-02-19 04:00:00,109.968,110.11,109.968,110.033,2317,3,0
2020-02-19 05:00:00,110.033,110.069,110.023,110.056,1263,3,0
2020-02-19 06:00:00,110.056,110.067,110.006,110.025,1000,3,0
2020-02-19 07:00:00,110.025,110.063,110.02,110.049,747,4,0
2020-02-19 08:00:00,110.049,110.06,110.02,110.042,995,3,0
2020-02-19 09:00:00,110.042,110.145,110.037,110.118,1686,3,0
2020-02-19 10:00:00,110.118,110.188,110.063,110.18,1956,3,0
2020-02-19 11:00:00,110.18,110.248,110.165,110.235,1559,3,0
2020-02-19 12:00:00,110.235,110.365,110.214,110.325,1466,3,0
2020-02-19 13:00:00,110.325,110.446,110.305,110.443,1494,3,0
2020-02-19 14:00:00,110.443,110.512,110.405,110.485,1408,3,0
2020-02-19 15:00:00,110.485,110.799,110.471,110.653,2735,3,0
2020-02-19 16:00:00,110.653,110.888,110.651,110.83,2794,3,0
2020-02-19 17:00:00,110.83,110.976,110.767,110.944,2367,3,0
2020-02-19 18:00:00,110.944,111.319,110.919,111.177,3066,3,0
2020-02-19 19:00:00,111.175,111.256,111.11,111.256,1804,3,0
2020-02-19 20:00:00,111.254,111.437,111.236,111.354,1329,4,0
2020-02-19 21:00:00,111.355,111.588,111.34,111.575,2344,3,0
2020-02-19 22:00:00,111.575,111.589,111.23,111.24,2489,3,0
2020-02-19 23:00:00,111.24,111.364,111.225,111.362,1050,3,0
2020-02-20 00:00:00,111.356,111.364,111.234,111.239,622,4,0
2020-02-20 01:00:00,111.239,111.299,111.19,111.195,1834,3,0
2020-02-20 02:00:00,111.195,111.306,111.11,111.207,4698,3,0
2020-02-20 03:00:00,111.207,111.288,111.132,111.243,3236,3,0
2020-02-20 04:00:00,111.243,111.344,111.231,111.337,3519,3,0
